"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC,PT AND PDCxPT ESTIMATES","GLM PDC,PT AND PDCxPT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
11,1,1,238.69000244140625,11,11011,238.8300018310547,237.69812679290771,238.10812338574004,237.78237031228343,0.9076321291228169,-0.1399993896484375,0.6661225750419249,-0.22424290902415578,0.1857536838081728,238.69000244140625,237.642370922635,238.44849288732536,237.55812740325928,237.9681239960916,8,,21,0.07263018362721141,11021,-0.8807505176094423,,,,,,,0.4665657886654911,-0.5216768284593627,-0.03913405569483008,,,,,,,,,,,,0.01277798482214898,0.012777984822205185,,
11,1,1,238.97000122070312,11,11011,238.8300018310547,237.69812679290771,238.10812338574004,237.78237031228343,1.1876309084196919,0.1399993896484375,0.9461213543387999,0.05575587027271922,0.4657524631050478,238.97000122070312,237.92236970193187,238.72849166662223,237.83812618255615,238.24812277538848,8,,22,0.07950522177418407,11022,-1.7676228091743837,,,,,,,0.746564567962366,-0.24167804916248764,0.24086472360204492,,,,,,,,,,,,0.34200312369068797,0.34200312369072094,,
12,1,1,238.64999389648437,11,11012,238.73999786376953,237.7437515258789,238.10812338574004,237.78237031228343,0.8676235842009419,-0.09000396728515625,0.5804892971488584,-0.12862275368968312,0.23574910617145406,238.64999389648437,237.69236634499828,238.3628596094323,237.65374755859375,238.0181194184549,8,,23,0.001380221774184065,11023,0.14549364590374125,,,,,,,0.5165612110287723,-0.4716814060960814,0.010861366668451167,,,,,,,,,,,,0.08575655691822703,0.08575655691826059,,
12,1,1,238.8300018310547,11,11012,238.73999786376953,237.7437515258789,238.10812338574004,237.78237031228343,1.0476315187712544,0.09000396728515625,0.7604972317191709,0.05138518088062938,0.41575704074176656,238.8300018310547,237.8723742795686,238.5428675440026,237.83375549316406,238.1981273530252,8,,24,-0.2561204267243511,11024,0.7380010082694639,,,,,,,0.6965691455990848,-0.2916734715257689,0.19086930123876367,,,,,,,,,,,,-0.07924626595774953,-0.07924626595771599,,
13,1,1,238.75,11,11013,238.6500015258789,237.79514829710558,238.10812338574004,237.78237031228343,0.9676296877165669,0.09999847412109375,0.6290986294378058,0.1127764589432445,0.42575154757770406,238.75,237.88236878640453,238.41146894172124,237.89514677122668,238.20812185986114,8,,25,-0.08861897713939015,11025,-0.05950532412799703,,,,,,,0.7065636524350223,-0.2816789646898314,0.20086380807470117,,,,,,,,,,,,0.3726284670134419,0.37262846701347496,,
13,1,1,238.5500030517578,11,11013,238.6500015258789,237.79514829710558,238.10812338574004,237.78237031228343,0.7676327394743794,-0.09999847412109375,0.4291016811956183,-0.087220489298943,0.22575459933551656,238.5500030517578,237.68237183816234,238.21147199347905,237.6951498229845,238.00812491161895,8,,26,0.0007565187712543775,11026,0.0011207058402646908,,,,,,,0.5065667041928348,-0.4816759129320189,0.0008668598325136667,,,,,,,,,,,,-0.02487157113353078,-0.024871571133495994,,
14,1,1,237.6699981689453,11,11014,237.5199966430664,238.12437343597412,238.10812338574004,237.78237031228343,-0.11237214333812062,0.15000152587890625,-0.7801283404854189,0.4920046495695942,0.47575459933551656,237.6699981689453,237.93237183816234,237.00224197179801,238.27437496185303,238.25812491161895,8,,27,0.014501826693617659,11027,-0.4726313159492861,,,,,,,0.7565667041928348,-0.2316759129320189,0.25086685983251367,,,,,,,,,,,,0.0020048784514301587,0.002004878451464691,,
14,1,1,237.3699951171875,11,11014,237.5199966430664,238.12437343597412,238.10812338574004,237.78237031228343,-0.4123751950959331,-0.15000152587890625,-1.0801313922432314,0.19200159781178172,0.17575154757770406,237.3699951171875,237.63236878640453,236.7022389200402,237.97437191009521,237.95812185986114,8,,28,-0.07674668557444875,11028,0.23362268948284282,,,,,,,0.45656365243502234,-0.5316789646898315,-0.04913619192529883,,,,,,,,,,,,0.19229899310942855,0.19229899310944829,,
15,1,1,234.3800048828125,11,11015,235.2050018310547,237.86812686920166,238.10812338574004,237.78237031228343,-3.402365429470933,-0.8249969482421875,-3.8138750598457705,-0.7392403913239605,-0.4992438747855772,234.3800048828125,236.95737336404125,233.96849525243766,237.04312992095947,237.28312643749786,8,,29,0.02075506918629344,11029,0.13112368130413188,,,,,,,-0.21843176992825897,-1.2066743870531127,-0.7241316142885801,,,,,,,,,,,,0.07263018362721141,0.07263018362724527,,
15,1,1,236.02999877929687,11,11015,235.2050018310547,237.86812686920166,238.10812338574004,237.78237031228343,-1.7523715329865581,0.8249969482421875,-2.1638811633613955,0.9107535051604145,1.1507500216987978,236.02999877929687,238.60736726052562,235.61848914892204,238.69312381744385,238.93312033398223,8,,30,-0.17799447305003469,11030,0.11486925625530375,,,,,,,1.431562126556116,0.4433195094312623,0.9258622821957949,,,,,,,,,,,,0.07950522177418407,0.07950522177421829,,
16,1,1,239.02999877929687,11,11016,238.75499725341797,237.70312404632568,238.10812338574004,237.78237031228343,1.2476284670134419,0.27500152587890625,1.001121659514581,0.19575525992115672,0.6007545993355166,239.02999877929687,238.05737183816234,238.78349197179801,237.9781255722046,238.38312491161895,8,,31,-0.11799500710765187,11031,-0.10012898898395406,,,,,,,0.8815667041928348,-0.10667591293201889,0.37586685983251367,,,,,,,,,,,,0.001380221774184065,0.0013802217742182844,,
16,1,1,238.47999572753906,11,11016,238.75499725341797,237.70312404632568,238.10812338574004,237.78237031228343,0.6976254152556294,-0.27500152587890625,0.4511186077567686,-0.3542477918366558,0.05075154757770406,238.47999572753906,237.50736878640453,238.2334889200402,237.42812252044678,237.83312185986114,8,,32,0.08575274222096141,11032,-0.1738794848945986,,,,,,,0.33156365243502234,-0.6566789646898315,-0.17413619192529883,,,,,,,,,,,,-0.2561204267243511,-0.256120426724316,,
17,1,1,239.02000427246094,11,11017,238.49500274658203,238.15499877929687,238.10812338574004,237.78237031228343,1.2376339601775044,0.5250015258789063,0.5392524197074522,0.8976299928923481,0.8507545993355166,239.02000427246094,238.30737183816234,238.32162273199089,238.68000030517578,238.63312491161895,8,,33,-0.036745770047105,11033,-0.46137700534137593,,,,,,,1.1315667041928348,0.14332408706798105,0.6258668598325137,,,,,,,,,,,,-0.08861897713939015,-0.08861897713935601,,
17,1,1,237.97000122070312,11,11017,238.49500274658203,238.15499877929687,238.10812338574004,237.78237031228343,0.18763090841969188,-0.5250015258789063,-0.5107506320503603,-0.15237305886546437,-0.19924845242229594,237.97000122070312,237.25736878640453,237.27161968023307,237.62999725341797,237.58312185986114,8,,34,-0.1442448926667339,11034,0.18612303280559672,,,,,,,0.08156365243502228,-0.9066789646898315,-0.42413619192529883,,,,,,,,,,,,0.0007565187712543775,0.0007565187712882645,,
18,1,1,238.0399932861328,11,11018,238.45499420166016,237.7574987411499,238.10812338574004,237.78237031228343,0.2576229738493794,-0.41500091552734375,-0.04325852847370015,-0.43987248666087453,-0.08924784207073344,238.0399932861328,237.3673693967561,237.73911178380973,237.34249782562256,237.6931224702127,8,,35,-0.11567446729228514,11035,0.5475519970795801,,,,,,,0.19156426278658484,-0.796678354338269,-0.31413558157373633,,,,,,,,,,,,0.014501826693617659,0.014501826693652273,,
18,1,1,238.8699951171875,11,11018,238.45499420166016,237.7574987411499,238.10812338574004,237.78237031228343,1.0876248049040669,0.41500091552734375,0.7867433025809874,0.39012934439381297,0.7407539889839541,238.8699951171875,238.19737122781078,238.56911361486442,238.17249965667725,238.5231243012674,8,,36,-0.037995083401597185,11036,1.4148723080131163,,,,,,,1.0215660938412723,0.03332347671641861,0.5158662494809512,,,,,,,,,,,,-0.07674668557444875,-0.07674668557441426,,
