"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC AND PT ESTIMATES","GLM PDC AND PT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
31,1,1,239.02999877929687,11,11031,239.02999877929687,237.5887508392334,238.10812338574004,237.78237031228343,1.2476284670134419,0,1.1154948666068663,0.9218753935568316,1.4412479400634766,239.02999877929687,237.78237031228343,238.8978651788903,238.70424570584026,239.2236182523469,,,31,-0.19361947305002047,11031,1.1154948666068663,,,,,,,1.7220600449207921,0.7338174277959517,1.2163602005604404,,,,,,,,,,,,-0.10736916787423922,-0.10736916787421949,,
32,1,1,238.47999572753906,11,11032,238.47999572753906,237.81749725341797,238.10812338574004,237.78237031228343,0.6976254152556294,0,0.33674540066448344,0.37187234179901907,0.6624984741210938,238.47999572753906,237.78237031228343,238.11911571294792,238.15424265408245,238.44486878640453,,,32,0.03512694113454984,11032,0.33674540066448344,,,,,,,0.9433105789784093,-0.04493203814643115,0.43761073461805755,,,,,,,,,,,,0.0301315950652139,0.030131595065233798,,
33,1,1,239.02000427246094,11,11033,239.02000427246094,238.20374870300293,238.10812338574004,237.78237031228343,1.2376339601775044,0,0.4905024960013975,0.9118808867208941,0.8162555694580078,239.02000427246094,237.78237031228343,238.27287280828483,238.69425119900433,238.59862588174144,,,33,0.4213783907195108,11033,0.4905024960013975,,,,,,,1.0970676743153234,0.10882505719048291,0.5913678299549716,,,,,,,,,,,,-0.05332364177826676,-0.05332364177824647,,
34,1,1,237.97000122070312,11,11034,237.97000122070312,238.10624885559082,238.10812338574004,237.78237031228343,0.18763090841969188,0,-0.4620007083443056,-0.13812216503691843,-0.1362476348876953,237.97000122070312,237.78237031228343,237.32036960393913,237.64424814724651,237.64612267739574,,,34,0.3238785433074014,11034,-0.4620007083443056,,,,,,,0.1445644699696202,-0.8436781471552202,-0.3611353743907315,,,,,,,,,,,,0.07887961142263578,0.07887961142265877,,
35,1,1,238.0399932861328,11,11035,238.0399932861328,237.7324981689453,238.10812338574004,237.78237031228343,0.2576229738493794,0,-0.01825795626911031,-0.06813009960723093,0.3074951171875,238.0399932861328,237.78237031228343,237.76411235601432,237.7142402126762,238.08986542947093,,,35,-0.04987214333810641,11035,-0.01825795626911031,,,,,,,0.5883072220448156,-0.3999353950800249,0.0826073776844638,,,,,,,,,,,,0.15887953512869046,0.15887953512871095,,
36,1,1,238.8699951171875,11,11036,238.8699951171875,237.7824993133545,238.10812338574004,237.78237031228343,1.0876248049040669,0,0.7617427303763975,0.7618717314474566,1.0874958038330078,238.8699951171875,237.78237031228343,238.54411304265983,238.5442420437309,238.86986611611644,,,36,0.00012900107107327585,11036,0.7617427303763975,,,,,,,1.3683079086903234,0.38006529156548297,0.8626080643299716,,,,,,,,,,,,0.5251267122527139,0.5251267122527347,,
37,1,1,238.38999938964844,11,11037,238.38999938964844,237.78874969482422,238.10812338574004,237.78237031228343,0.6076290773650044,0,0.27549662136760844,0.28187600390839407,0.6012496948242188,238.38999938964844,237.78237031228343,238.05786693365104,238.06424631619183,238.38362000710765,,,37,0.006379382540799838,11037,0.27549662136760844,,,,,,,0.8820617996815343,-0.10618081744330615,0.37636195532118255,,,,,,,,,,,,-0.2323672605256064,-0.2323672605255875,,
38,1,1,238.47000122070312,11,11038,238.47000122070312,237.7800006866455,238.10812338574004,237.78237031228343,0.6876309084196919,0,0.3642474606010069,0.36187783496308157,0.6900005340576172,238.47000122070312,237.78237031228343,238.14661777288444,238.14424814724651,238.47237084634105,,,38,-0.002369625637911099,11038,0.3642474606010069,,,,,,,0.9708126389149328,-0.017429978209907715,0.465112794554581,,,,,,,,,,,,0.4038803743620889,0.40388037436210944,,
39,1,1,238.5800018310547,11,11039,238.5800018310547,237.7012481689453,238.10812338574004,237.78237031228343,0.7976315187712544,0,0.5530005886527647,0.47187844531464407,0.878753662109375,238.5800018310547,237.78237031228343,238.3353709009362,238.25424875759808,238.6611239743928,,,39,-0.08112214333810641,11039,0.5530005886527647,,,,,,,1.1595657669666906,0.17132314984185015,0.6538659226063388,,,,,,,,,,,,-0.19361947305002047,-0.19361947305000002,,
40,1,1,238.2899932861328,11,11040,238.2899932861328,238.24809044184036,238.10812338574004,237.78237031228343,0.5076229738493794,0,-0.2838502291641589,0.18186990039276907,0.04190284429245139,238.2899932861328,237.78237031228343,237.49852008311927,237.9642402126762,237.82427315657588,,,40,0.4657201295569635,11040,-0.2838502291641589,,,,,,,0.3227149491497669,-0.6655276679750735,-0.1829848952105848,,,,,,,,,,,,0.03512694113454984,0.03512694113456963,,
